Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Seating_Capacity,Type,Power.1,Torque.1
Skoda,Superb,Style 1.8 Tsi Mt,"₹ 2,599,599.000000000000000",1798,4,66,Petrol,1483,4861,1864,Sedan,5,Manual,180,320
Toyota,Corolla Altis,G Diesel,"₹ 1,771,000.000000000000000",1364,4,43,Diesel,1475,4620,1775,Sedan,5,Manual,88.4,205
Skoda,Superb,L & K 1.8 Tsi At,"₹ 3,099,599.000000000000000",1798,4,66,Petrol,1483,4861,1864,Sedan,5,Automatic,180,250
Skoda,Superb,Style 2.0 Tdi At,"₹ 3,029,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,Sedan,5,Automatic,177,350
Skoda,Superb,L & K 2.0 Tdi At,"₹ 3,349,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,Sedan,5,Automatic,177,350
Skoda,Superb,Style 1.8 Tsi At,"₹ 2,779,599.000000000000000",1798,4,66,Petrol,1483,4861,1864,Sedan,5,Automatic,180,250
Volvo,S60,Polestar,"₹ 5,602,000.000000000000000",1969,4,67,Petrol,1484,4635,2097,Sedan,5,Automatic,372,470
Mercedes-Benz,Mercedes-Benz E-Class,E200,"₹ 5,861,062.000000000000000",1991,4,80,Petrol,1494,5063,1860,Sedan,5,Automatic,184,300
Skoda,Superb,Corporate Edition 1.8 Tsi At,"₹ 2,599,599.000000000000000",1798,4,66,Petrol,1483,4861,1864,Sedan,5,Automatic,180,250
Skoda,Superb,Corporate Edition 2.0 Tdi At,"₹ 2,849,599.000000000000000",1968,4,66,Diesel,1483,4861,1864,Sedan,5,Automatic,177,350
Mercedes-Benz,Mercedes-Benz E-Class,E200 Expression,"₹ 5,750,000.000000000000000",1991,4,80,Petrol,1494,5063,1860,Sedan,5,Automatic,184,300
Mercedes-Benz,Mercedes-Benz E-Class,E200 Exclusive,"₹ 6,150,000.000000000000000",1991,4,80,Petrol,1494,5063,1860,Sedan,5,Automatic,184,300
Jeep,Wrangler,Unlimited,"₹ 6,394,000.000000000000000",1999,4,85,Petrol,1838,4882,1877,SUV,5,Automatic,268,400
Land Rover Rover,Range Velar,2.0 Diesel R-Dynamic S,"₹ 7,246,802.000000000000000",1999,4,0,Diesel,1665,4797,2145,SUV,5,Automatic,179,430
Fiat,Linea Classic,1.4,"₹ 646,336.000000000000000",1368,4,45,Petrol,1487,4560,1730,Sedan,5,Manual,90,115
Fiat,Punto Evo Pure,1.2L Fire Dynamic,"₹ 482,330.000000000000000",1172,4,45,Petrol,1525,3987,1687,Hatchback,5,Manual,68,96
Fiat,Linea Classic,1.3 Multijet,"₹ 751,203.000000000000000",1248,4,45,Diesel,1487,4560,1730,Sedan,5,Manual,76,197
Nissan,Terrano,Xl (P),"₹ 999,900.000000000000000",1598,4,50,Petrol,1671,4331,1822,SUV,5,Manual,104,145
Nissan,Terrano,Xv D Premium 110 Ps Amt,"₹ 1,464,900.000000000000000",1461,4,50,Diesel,1671,4331,1822,SUV,5,Automatic,110,248
Nissan,Terrano,Xe D 85Ps,"₹ 999,900.000000000000000",1461,4,50,Diesel,1671,4331,1822,SUV,5,Manual,85,200
